id,rating,might,fights
415165,210,8264,498
1311348,445,14640,500
393845,1999,31140,500
1442422,-10,1723,113
918135,862,21382,500
453931,1420,27408,500
524922,911,22039,500
1049211,1183,25439,500
1507434,152,6615,485
1180288,687,19138,500
787073,2014,31707,500
787074,847,22121,500
1449042,-3,2042,154
1442437,177,7335,496
393862,1460,28138,500
787080,1601,28498,500
1427193,-2,2275,216
262797,754,19101,500
787087,475,14697,500
1049234,464,14811,500
787092,1415,27502,500
656022,1534,28124,500
1398212,118,5420,488
1310831,599,17960,500
656028,1609,29112,500
262813,584,17645,500
787106,576,16543,500
794365,428,13188,500
656036,798,20793,500
262821,1355,27195,500
918183,975,22560,500
787113,1063,23881,500
262827,2025,31434,500
393900,174,7328,497
393901,1038,23164,500
1470866,483,14863,500
1551133,60,4187,449
787120,1476,27743,500
1049267,534,16909,500
524981,2024,31867,500
787128,1482,28509,500
131770,1303,26167,500
1551135,-10,1616,109
524989,1426,27801,500
656062,1364,27081,500
656066,1616,28589,500
1245302,-3,2139,177
918215,1656,29398,500
262857,1007,23289,500
1507447,10,3601,403
525004,240,8742,498
1448143,170,7072,494
131790,1284,26254,500
1311442,552,16177,500
633635,893,21767,500
1180372,485,15117,500
1538746,304,10984,500
415183,1765,29732,500
1442525,483,14925,500
1558158,-9,2859,291
918240,1389,27169,500
131810,2384,33814,500
131811,2328,33945,500
1442532,548,16276,500
525029,995,22585,500
349649,592,16885,500
393961,806,20711,500
131818,646,18598,500
393965,813,21223,500
393966,2504,34820,500
131823,860,20980,500
1311472,990,22949,500
1442545,65,4452,467
1300652,573,16564,500
1049334,704,19204,500
174889,207,7507,495
349652,1014,23408,500
1549430,210,8443,498
1049345,387,12959,500
656130,1765,29729,500
1180419,247,9115,498
1245313,401,13636,500
787208,930,21665,500
1180426,650,17715,500
393995,2524,34821,500
393996,2154,32745,500
1311501,542,16364,500
918286,926,21994,500
656144,1601,29490,500
1180433,1063,23828,500
262935,1305,25688,500
525081,2513,34595,500
1180442,306,11673,500
656156,63,4581,453
262944,2153,32736,500
1180450,-1,3270,354
131875,1359,26595,500
787236,739,20007,500
983174,706,20247,500
656166,655,18759,500
131879,2514,34704,500
394026,2294,33524,500
656174,1239,25753,500
1442607,634,17797,500
655496,553,16816,500
1442612,505,15790,500
787260,912,21455,500
1485621,243,9063,498
394049,1867,30830,500
1180482,479,14925,500
394054,426,13946,500
262984,843,21142,500
787273,456,15121,500
1478167,313,11618,500
1418497,482,15739,500
525133,10,3406,385
1442638,-5,2300,214
1180495,910,22316,500
1551160,20,3551,402
1311571,463,13795,500
1049428,878,21668,500
1551161,-2,2977,323
131929,1024,23930,500
1523246,315,11018,500
918364,994,23680,500
1180514,638,18597,500
131943,696,19987,500
131944,1775,30189,500
305980,1282,25845,500
1311598,546,15957,500
131951,726,20127,500
263025,1363,26927,500
787315,614,17670,500
263028,2306,33583,500
656245,1219,25294,500
1519717,-1,3151,346
787320,1855,30251,500
394107,2489,34182,500
394108,1529,27957,500
656253,891,21705,500
394110,1098,24095,500
178975,2808,36960,499
394114,528,16478,500
131972,2882,37345,496
1551169,126,5725,476
787337,621,17698,500
1510154,402,12950,500
525195,570,16631,500
1551170,57,4282,460
394127,1095,24629,500
656272,1746,29491,500
1485635,254,8217,499
1442709,469,14242,500
394135,578,17281,499
656281,1141,24642,500
1442714,281,10410,499
656283,1426,27279,500
1311644,221,8249,496
1311647,466,14741,500
525216,1789,30045,500
132005,2381,34324,500
1442726,72,4374,458
656299,13,3316,367
394156,1082,24496,500
153074,381,12856,500
1180591,859,20525,500
394161,1623,28740,500
918450,200,7555,498
263091,2894,37635,498
656309,1289,25959,500
1442746,534,16689,500
263099,1082,23714,500
918461,1143,24611,500
1049535,646,18093,500
787393,1770,29973,500
1518885,400,14164,500
1114273,1362,26750,500
787401,982,22968,500
394186,2070,32197,500
1180621,392,13120,500
357923,1236,26261,500
1180628,620,18129,500
699214,1916,31247,500
1442776,459,15110,500
1442778,485,16007,500
787420,259,9196,498
415226,2440,34243,500
525283,1866,30512,500
787429,1117,24750,500
1049574,725,19967,500
1180647,187,6905,496
1466512,0,3137,340
787436,1364,26726,500
366653,2247,33586,500
1512734,369,12476,500
787441,1081,23518,500
1311731,518,16106,500
132085,3076,38510,486
1551188,134,5867,488
394234,2494,34299,500
394235,1946,31782,500
1180668,890,21241,500
394240,1859,30483,500
1543291,216,8599,499
525316,1787,30512,500
656389,1379,26858,500
656399,114,5117,477
1442834,587,17349,500
918547,1168,24737,500
525332,1163,24005,500
263190,1258,25730,500
394263,1902,31136,500
787481,1389,26881,500
787484,171,7336,495
525341,632,18102,500
787486,1335,27336,500
1311776,414,14420,500
263204,1280,26469,500
1463814,98,5351,482
787494,615,18260,500
493226,2118,32564,500
1442856,183,7256,494
174940,1172,24996,500
1540711,240,8197,500
132142,2435,34123,500
787504,608,17099,500
852147,2027,32217,500
1311797,462,14483,500
394294,1965,31218,500
394297,52,3905,432
394298,1376,27204,500
1485663,327,12363,500
1180732,588,17718,500
1442877,471,14887,500
318646,1279,25979,500
394306,2346,33632,500
918596,560,15879,500
656453,2314,33667,500
132176,360,12593,500
1026915,1686,29489,500
132181,1694,29635,500
132182,1839,30752,500
571789,2558,35080,500
394330,1848,30762,500
1463823,317,11728,500
525405,1511,27799,500
1551205,3,3343,380
1442914,-4,2132,186
1289062,895,22334,500
263273,-5,3171,349
1442923,310,11235,500
1531944,-1,3077,321
787566,1413,27912,500
1441981,646,17769,500
656496,1982,31293,500
525425,946,22790,500
918642,923,22291,500
263284,1575,28837,500
263285,1732,29517,500
394358,678,18757,500
394359,1466,27963,500
655551,1696,29326,500
787581,1661,29200,500
1180802,534,16432,500
1311876,797,21070,500
263301,1138,24791,500
132230,2581,35203,500
1442951,238,8895,497
1551212,46,4008,443
1488340,383,13133,500
656527,1128,25072,500
1180817,411,14022,500
394387,1012,23395,500
525461,1037,23973,500
1180822,1240,25368,500
1442969,-5,2956,311
918682,784,20816,500
787611,1389,27362,500
1442973,242,8462,498
656542,788,21091,500
1442975,203,7379,490
918689,1079,24215,500
394402,703,19490,500
394403,988,22645,500
787621,-3,2665,260
1405415,195,7565,497
918696,1105,24504,500
1387957,642,18081,500
1441991,-2,2203,196
394413,139,5926,489
1545080,168,6561,498
132276,769,20290,500
1510164,213,8389,499
263352,1474,28073,500
371572,929,22473,500
728915,815,20043,500
787643,661,19027,500
1311932,465,14395,500
263357,1269,25803,500
1443006,321,11228,500
132287,1376,26595,500
263361,3122,38701,490
1531987,265,8622,499
787651,364,13029,500
525509,1057,23977,500
394438,1383,27382,500
1311943,16,3272,378
132300,1760,30274,500
1463842,-5,2415,239
589251,1482,27731,500
253183,2222,33318,500
1180880,518,15234,500
918737,-4,2094,187
218659,968,22726,500
918740,720,19731,500
1311957,479,14537,500
656598,1435,27309,500
918745,548,16552,500
263388,2188,32877,500
263389,2218,33149,500
787679,360,11619,500
1311971,598,17937,500
1443044,121,4891,473
1311974,377,12778,500
