id,rating,might,fights
1544167,-10,103,59
1516589,-10,424,65
1528197,-10,446,67
1477136,-10,556,73
1543293,-10,556,71
1423759,-10,748,77
1522106,-10,897,79
1524024,-10,910,79
1547278,-10,937,79
1427942,-10,968,81
1530699,-10,1059,81
1536740,-10,1142,83
1521528,-10,1144,85
1550044,-10,1147,83
1553717,-10,1149,85
1345323,-10,1150,85
1523150,-10,1153,87
218913,-10,1188,89
1310999,-10,1208,89
1543122,-10,1209,89
466560,-10,1231,89
1520957,-10,1240,89
1531226,-10,1244,89
1523303,-10,1261,91
1528593,-10,1263,89
1513898,-10,1292,93
1512593,-10,1347,95
1538720,-10,1349,93
1514146,-10,1363,93
1508012,-10,1364,97
1555401,-10,1368,93
1527163,-10,1388,97
1544559,-10,1408,97
1536980,-10,1413,97
1513769,-10,1432,97
1536599,-10,1437,97
1554603,-10,1443,99
1514563,-10,1444,101
1483181,-10,1449,101
1485417,-10,1469,103
1519923,-10,1491,105
1524225,-10,1496,103
524182,-10,1518,109
1159909,-10,1538,105
1528096,-10,1555,107
1512325,-10,1589,109
1535351,-10,1610,107
1528268,-10,1620,111
1505332,-10,1628,109
251834,-10,1633,111
1518023,-10,1636,113
1435225,-10,1639,113
1479062,-10,1661,117
1254900,-10,1667,115
815493,-10,1670,117
1529121,-10,1675,119
1543023,-10,1677,115
1557327,-10,1677,121
1470105,-10,1680,119
1501148,-10,1681,117
1261908,-10,1684,115
1557943,-10,1685,117
1541852,-10,1689,117
1557322,-10,1700,123
1505588,-10,1702,123
1203208,-10,1706,125
1539357,-10,1707,123
1351933,-10,1710,123
1558128,-10,1717,123
1478032,-10,1718,125
1543972,-10,1718,125
896957,-10,1720,125
1491421,-10,1722,125
1519743,-10,1726,123
1506332,-10,1727,127
1550446,-10,1728,125
1506414,-10,1729,123
1517058,-10,1730,127
1405342,-10,1734,125
1306512,-10,1735,125
1558083,-10,1738,127
1542329,-10,1738,131
1556842,-10,1738,127
1525251,-10,1742,127
1527946,-10,1745,129
1255433,-10,1745,127
1521373,-10,1748,129
365138,-10,1748,127
1510719,-10,1750,127
887551,-10,1755,129
1550338,-10,1755,127
1404054,-10,1756,129
1523239,-10,1757,131
1523063,-10,1768,131
1247811,-10,1774,129
1527053,-10,1776,133
1517057,-10,1782,132
847156,-10,1784,131
1416468,-10,1784,131
1459304,-10,1787,131
1554830,-10,1795,131
1507255,-10,1795,131
1545271,-10,1814,135
1446166,-10,1820,137
1526539,-10,1822,137
1542976,-10,1837,135
1521775,-10,1839,137
1542362,-10,1841,137
1547243,-10,1841,137
1555275,-10,1847,137
1556430,-10,1856,139
212635,-10,1860,141
1412474,-10,1866,139
1510694,-10,1883,143
1545593,-10,1884,141
1556513,-10,1885,137
1494224,-10,1887,141
1529383,-10,1889,139
1520887,-10,1902,142
1455178,-10,1904,139
1540299,-10,1919,145
1518692,-10,1928,145
1544650,-10,1928,143
1521291,-10,1939,145
1509858,-10,1940,145
1537187,-10,1945,147
1530918,-10,1946,147
1502205,-10,1947,147
1549485,-10,1947,143
1382226,-10,1951,147
1273094,-10,1951,147
1450707,-10,1958,149
188702,-10,1959,151
1386634,-10,1961,149
1512567,-10,1962,147
1429875,-10,1963,149
1325736,-10,1966,147
1552912,-10,1970,151
1550381,-10,1971,147
1517554,-10,1973,149
1458634,-10,1985,153
1536735,-10,1986,153
484783,-10,1987,155
1528157,-10,1997,157
1533190,-10,1997,157
1506446,-10,2000,153
1548122,-10,2008,155
1552078,-10,2018,155
1474294,-10,2021,157
1512606,-10,2027,161
1481033,-10,2028,155
1022248,-10,2031,159
799874,-10,2040,163
1435960,-10,2044,161
1372453,-10,2057,165
1553038,-10,2060,163
997349,-10,2069,159
919463,-10,2070,165
1513955,-10,2071,163
1519184,-10,2089,165
119767,-10,2092,165
1499286,-10,2093,165
1541648,-10,2095,165
1171209,-10,2096,165
1525505,-10,2098,167
1540501,-10,2103,167
1525050,-10,2111,169
1555914,-10,2113,169
1507217,-10,2116,167
1534795,-10,2127,171
1548406,-10,2129,169
1497162,-10,2134,169
1530775,-10,2150,173
734844,-10,2152,173
1142018,-10,2154,171
1550679,-10,2156,169
1030325,-10,2158,171
1479398,-10,2161,175
1337617,-10,2173,173
1435086,-10,2188,173
1556548,-10,2192,177
1127999,-10,2196,173
1458661,-10,2197,175
1540993,-10,2200,175
1545490,-10,2202,178
1486163,-10,2204,177
1549383,-10,2208,177
1459609,-10,2209,175
1502816,-10,2220,181
1551226,-10,2220,177
1489640,-10,2225,181
1539142,-10,2228,179
1537053,-10,2229,179
1511052,-10,2240,183
1551363,-10,2240,178
1518405,-10,2243,181
1035044,-10,2244,179
1484014,-10,2254,183
1445984,-10,2261,183
1447690,-10,2269,183
1519327,-10,2270,183
1502540,-10,2271,187
1538795,-10,2271,185
588765,-10,2277,183
1499666,-10,2280,184
458220,-10,2280,187
1520947,-10,2282,189
1546923,-10,2289,184
1451082,-10,2291,189
1540618,-10,2294,185
135867,-10,2295,190
1442638,-10,2300,189
1541397,-10,2304,187
1521941,-10,2305,191
1514354,-10,2309,189
1486160,-10,2311,187
1456453,-10,2316,191
1411696,-10,2326,191
1459390,-10,2329,191
1411952,-10,2330,191
1535242,-10,2339,191
1436517,-10,2340,193
1374562,-10,2344,191
1540835,-10,2349,195
1548686,-10,2350,195
1429183,-10,2351,195
1207133,-10,2352,193
1501725,-10,2352,193
1509567,-10,2364,197
1273663,-10,2368,193
342662,-10,2371,197
1405093,-10,2376,195
1411979,-10,2377,197
1506725,-10,2382,197
1509210,-10,2387,197
216131,-10,2392,197
1530018,-10,2392,199
153447,-10,2399,201
1525554,-10,2401,197
1298796,-10,2410,197
1482615,-10,2416,201
1518239,-10,2429,201
1535197,-10,2431,201
1106191,-10,2443,201
1553292,-10,2445,203
1369682,-10,2453,205
474950,-10,2464,205
1537696,-10,2474,201
1537081,-10,2480,201
968710,-10,2481,207
1108818,-10,2484,207
1417035,-10,2485,205
1512243,-10,2491,207
1439539,-10,2492,207
1545927,-10,2493,206
1512406,-10,2495,205
353721,-10,2502,207
1306723,-10,2504,209
1527773,-10,2506,211
1548273,-10,2509,209
375062,-10,2514,211
1442633,-10,2517,209
1397129,-10,2536,213
1465809,-10,2538,213
205038,-10,2539,211
663276,-10,2552,215
1532306,-10,2552,213
1533818,-10,2554,213
1434054,-10,2576,217
1351062,-10,2578,219
1535951,-10,2578,219
1425942,-10,2579,219
1495003,-10,2582,219
1505557,-10,2594,215
1517959,-10,2595,221
1509268,-10,2595,219
764603,-10,2597,219
1546068,-10,2598,221
860547,-10,2614,225
1406252,-10,2616,221
214341,-10,2620,221
1488486,-10,2622,221
1512647,-10,2627,223
1533030,-10,2628,225
1535735,-10,2633,225
1514941,-10,2634,223
1549443,-10,2634,221
1500421,-10,2636,225
1546893,-10,2637,225
678318,-10,2639,225
1496901,-10,2641,225
620721,-10,2646,222
1537895,-10,2649,225
474902,-10,2657,227
